beta,lr,seed,error_u_relative,error_u_abs,error_u_linf,checkpoint_file
1.0,1.0,89,0.010234,0.006082,0.017779,PINN_convection_beta_1.0_lr_1.0_seed_089.pt
1.0,1.0,90,0.007347,0.004172,0.014644,PINN_convection_beta_1.0_lr_1.0_seed_090.pt
1.0,1.0,91,0.010387,0.005915,0.019825,PINN_convection_beta_1.0_lr_1.0_seed_091.pt
1.0,1.0,92,0.013599,0.008518,0.024255,PINN_convection_beta_1.0_lr_1.0_seed_092.pt
1.0,1.0,93,0.008761,0.004726,0.01646,PINN_convection_beta_1.0_lr_1.0_seed_093.pt
1.0,1.0,94,0.013295,0.008112,0.018692,PINN_convection_beta_1.0_lr_1.0_seed_094.pt
1.0,1.0,95,0.010595,0.006308,0.018441,PINN_convection_beta_1.0_lr_1.0_seed_095.pt
1.0,1.0,96,0.012015,0.006241,0.025744,PINN_convection_beta_1.0_lr_1.0_seed_096.pt
1.0,1.0,97,0.012115,0.007141,0.027779,PINN_convection_beta_1.0_lr_1.0_seed_097.pt
1.0,1.0,98,0.006035,0.003519,0.010861,PINN_convection_beta_1.0_lr_1.0_seed_098.pt
1.0,1.0,99,0.008412,0.004752,0.016359,PINN_convection_beta_1.0_lr_1.0_seed_099.pt
1.0,1.0,100,0.010304,0.005615,0.03013,PINN_convection_beta_1.0_lr_1.0_seed_100.pt
